,company,level,title,yearsofexperience,yearsatcompany,tag,gender,dmaid,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Race_Asian,Race_White,Race_Two_Or_More,Race_Black,Race_Hispanic
47057,other,other,Software Engineer,3.0,1.0,other,Male,807.0,0,1,0,0,0,1,0,0,0,0
38137,other,Senior Software Engineer,Software Engineer,12.0,1.0,Web Development (Front-End),Male,0.0,1,0,0,0,0,0,1,0,0,0
45061,other,other,Software Engineer,1.0,1.0,Full Stack,Male,511.0,0,1,0,0,0,0,0,1,0,0
47870,other,L3,Software Engineer,20.0,5.0,Web Development (Front-End),Male,807.0,1,0,0,0,0,1,0,0,0,0
58886,other,other,Software Engineer,1.0,0.0,other,Male,524.0,0,1,0,0,0,0,0,0,0,1
23537,amazon,L6,Software Engineer,15.0,3.0,ML / AI,Male,819.0,0,1,0,0,0,1,0,0,0,0
51729,other,other,Software Engineer,5.0,1.0,Web Development (Front-End),Female,635.0,0,1,0,0,0,0,0,1,0,0
39000,facebook,E5,Software Engineer,4.0,0.0,other,Male,0.0,0,1,0,0,0,1,0,0,0,0
46150,other,L4,Software Engineer,2.0,0.0,Full Stack,Female,501.0,0,1,0,0,0,0,0,1,0,0
39658,other,L6,Software Engineer,9.0,0.0,other,Female,807.0,0,1,0,0,0,0,1,0,0,0
34766,microsoft,other,Software Engineering Manager,15.0,7.0,Web Development (Front-End),Male,819.0,0,0,0,0,1,0,0,0,1,0
54880,other,other,Software Engineer,1.0,0.0,Full Stack,Male,0.0,1,0,0,0,0,0,1,0,0,0
47216,other,L2,Business Analyst,1.0,1.0,other,Male,506.0,0,1,0,0,0,1,0,0,0,0
30655,other,other,Management Consultant,22.0,9.0,other,Male,819.0,1,0,0,0,0,1,0,0,0,0
31327,facebook,E5,Software Engineer,3.0,3.0,Full Stack,Male,819.0,1,0,0,0,0,1,0,0,0,0
36567,other,L5,Software Engineer,8.0,3.0,API Development (Back-End),Male,0.0,0,1,0,0,0,1,0,0,0,0
35999,cisco,other,Software Engineer,3.0,0.0,Data,Male,0.0,0,1,0,0,0,1,0,0,0,0
30301,cisco,other,Software Engineer,8.0,8.0,other,Male,807.0,1,0,0,0,0,1,0,0,0,0
49629,other,L7,Hardware Engineer,20.0,0.0,other,Male,825.0,0,1,0,0,0,1,0,0,0,0
42910,other,other,Software Engineer,3.0,0.0,Distributed Systems (Back-End),Male,807.0,0,1,0,0,0,0,1,0,0,0
43711,amazon,L5,Product Manager,11.0,3.0,Technical,Male,0.0,1,0,0,0,0,1,0,0,0,0
40508,amazon,L5,other,5.0,5.0,Technical,Female,819.0,0,1,0,0,0,1,0,0,0,0
48804,amazon,L6,Data Scientist,15.0,4.0,other,Male,819.0,1,0,0,0,0,1,0,0,0,0
45925,other,L4,Software Engineer,6.0,3.0,Full Stack,Male,803.0,1,0,0,0,0,0,1,0,0,0
45252,other,L5,Software Engineer,6.0,1.0,Distributed Systems (Back-End),Male,623.0,0,1,0,0,0,1,0,0,0,0
39824,intel,other,Software Engineer,9.0,9.0,other,Male,820.0,1,0,0,0,0,0,1,0,0,0
37053,other,other,Software Engineer,0.0,0.0,API Development (Back-End),Male,0.0,0,1,0,0,0,0,0,1,0,0
48462,salesforce,other,Software Engineer,4.0,0.0,DevOps,Female,819.0,1,0,0,0,0,1,0,0,0,0
49908,microsoft,other,Management Consultant,15.0,1.0,other,Female,524.0,1,0,0,0,0,0,0,0,1,0
56504,facebook,E5,Software Engineer,5.0,0.0,Distributed Systems (Back-End),Male,819.0,0,1,0,0,0,1,0,0,0,0
59874,other,L2,Software Engineer,5.0,1.0,Full Stack,Male,other,0,1,0,0,0,1,0,0,0,0
52646,other,other,Software Engineer,6.0,3.0,Full Stack,Male,807.0,1,0,0,0,0,1,0,0,0,0
35976,other,other,Business Analyst,1.0,1.0,other,Male,501.0,0,1,0,0,0,0,1,0,0,0
36774,other,other,Hardware Engineer,7.0,7.0,other,Male,807.0,0,1,0,0,0,1,0,0,0,0
60693,other,L5,Product Designer,5.0,2.0,User Experience (UX),Male,other,1,0,0,0,0,1,0,0,0,0
60721,google,L6,Hardware Engineer,17.0,3.0,other,Male,0.0,1,0,0,0,0,1,0,0,0,0
42770,other,Senior Software Engineer,Software Engineer,8.0,3.0,API Development (Back-End),Male,501.0,1,0,0,0,0,0,1,0,0,0
49533,other,other,Software Engineer,11.0,1.0,API Development (Back-End),Male,0.0,0,1,0,0,0,1,0,0,0,0
56382,other,IC4,Software Engineer,12.0,3.0,Distributed Systems (Back-End),Male,0.0,0,1,0,0,0,1,0,0,0,0
26829,other,other,Hardware Engineer,8.0,8.0,other,Male,825.0,1,0,0,0,0,1,0,0,0,0
52004,other,other,Software Engineer,6.0,0.0,other,Male,819.0,0,1,0,0,0,0,0,1,0,0
48096,other,L3,Data Scientist,10.0,4.0,other,Female,753.0,1,0,0,0,0,0,1,0,0,0
56375,other,other,Product Manager,0.0,0.0,Product,Male,511.0,0,1,0,0,0,0,1,0,0,0
58627,other,other,Product Manager,10.0,2.0,Product,Male,515.0,0,1,0,0,0,0,1,0,0,0
40408,other,Senior Software Engineer,Software Engineer,5.0,5.0,Web Development (Front-End),Male,825.0,0,1,0,0,0,1,0,0,0,0
41998,other,other,Software Engineer,10.0,4.0,API Development (Back-End),Male,0.0,0,1,0,0,0,1,0,0,0,0
51029,other,other,Solution Architect,16.0,4.0,DevOps,Male,0.0,0,1,0,0,0,1,0,0,0,0
24552,other,other,Software Engineer,1.0,1.0,other,Male,807.0,1,0,0,0,0,1,0,0,0,0
37020,facebook,IC4,Technical Program Manager,7.0,0.0,other,Male,635.0,1,0,0,0,0,0,1,0,0,0
50252,other,other,Software Engineer,5.0,2.0,other,Male,0.0,0,1,0,0,0,1,0,0,0,0
40731,google,L6,Software Engineering Manager,8.0,5.0,Distributed Systems (Back-End),Male,803.0,0,0,1,0,0,0,1,0,0,0
45396,google,L5,Software Engineering Manager,10.0,6.0,other,Female,807.0,1,0,0,0,0,0,1,0,0,0
42149,other,other,Data Scientist,4.0,3.0,other,Male,0.0,1,0,0,0,0,0,1,0,0,0
32526,salesforce,other,Software Engineer,4.0,1.0,Full Stack,Male,524.0,1,0,0,0,0,1,0,0,0,0
23627,other,other,Software Engineer,4.0,4.0,other,Male,807.0,1,0,0,0,0,1,0,0,0,0
37332,other,other,Software Engineer,5.0,1.0,API Development (Back-End),Male,0.0,1,0,0,0,0,0,1,0,0,0
50478,other,L2,Software Engineer,3.0,2.0,other,Male,609.0,0,1,0,0,0,0,0,0,0,1
50920,other,L5,Software Engineer,4.0,3.0,Full Stack,Male,501.0,0,0,1,0,0,1,0,0,0,0
36864,other,other,Software Engineer,6.0,0.0,Distributed Systems (Back-End),Male,0.0,0,1,0,0,0,0,1,0,0,0
48784,amazon,other,Software Engineering Manager,7.0,5.0,Distributed Systems (Back-End),Male,819.0,1,0,0,0,0,1,0,0,0,0
42625,amazon,L4,Software Engineer,1.0,0.0,Full Stack,Male,501.0,0,1,0,0,0,1,0,0,0,0
37807,other,L2,other,2.0,0.0,other,Male,other,0,1,0,0,0,1,0,0,0,0
42640,other,L3,Software Engineer,0.0,0.0,other,Male,807.0,0,1,0,0,0,0,1,0,0,0
43348,google,L4,Software Engineer,6.0,0.0,Full Stack,Male,807.0,0,1,0,0,0,0,1,0,0,0
32088,google,L3,Software Engineer,2.0,0.0,API Development (Back-End),Male,635.0,0,1,0,0,0,0,0,0,1,0
37569,other,other,Product Manager,4.0,4.0,Technical,Female,635.0,0,1,0,0,0,0,1,0,0,0
47697,amazon,L5,Solution Architect,5.0,1.0,ML / AI,Male,511.0,1,0,0,0,0,0,1,0,0,0
54863,other,L1,Software Engineer,2.0,2.0,Full Stack,Male,512.0,0,1,0,0,0,0,1,0,0,0
35002,other,L3,other,3.0,1.0,other,Male,819.0,0,1,0,0,0,1,0,0,0,0
